Sector,Tipo,Dias_Deteccion,Registros
Salud,Ransomware,45,12500
Finanzas,Phishing,12,850
Tecnologia,Insider,210,145000
Retail,Malware,18,4500
Educacion,Phishing,88,32000
Salud,Ransomware,14,8900
Finanzas,Malware,5,1200
Gobierno,Ransomware,120,500000
Retail,Phishing,34,7800
Tecnologia,Malware,4,250
Salud,Insider,300,18000
Finanzas,Ransomware,9,15000
Transporte,Phishing,56,45000
Retail,Ransomware,22,890
Educacion,Malware,115,220000
Salud,Phishing,8,400
Tecnologia,Ransomware,42,67000
Finanzas,Insider,180,12500
Gobierno,Phishing,67,89000
Retail,Malware,11,2300
Salud,Ransomware,29,11000
Educacion,Phishing,75,45000
Finanzas,Malware,3,100
Transporte,Ransomware,41,34000
Tecnologia,Phishing,19,12000
Retail,Insider,150,8800
Salud,Malware,14,3400
Finanzas,Ransomware,8,21000
Gobierno,Malware,92,150000
Educacion,Ransomware,33,9000
Tecnologia,Insider,400,850000
Retail,Phishing,27,6500
Salud,Ransomware,16,4200
Finanzas,Phishing,6,800
Transporte,Malware,88,56000
Educacion,Insider,220,19000
Tecnologia,Ransomware,39,45000
Retail,Malware,13,2100
Gobierno,Phishing,54,78000
Salud,Insider,190,11000
Finanzas,Ransomware,11,32000
Educacion,Malware,81,145000
Transporte,Phishing,47,23000
Tecnologia,Malware,7,1500
Retail,Ransomware,26,7700
Gobierno,Insider,310,250000
Salud,Phishing,15,5600
Finanzas,Malware,4,300
Educacion,Ransomware,38,12000
Tecnologia,Phishing,21,18000
