industry_primary,incident_date,discovery_date,attack_vector_primary,data_compromised_records
52,2021-05-08,2021-05-12,ransomware,26888
51,2025-12-11,2026-02-13,phishing,41426
51,2023-01-15,2023-07-18,trojan,
44-45,2021-03-15,2021-04-03,phishing,1107796
51,2021-12-04,2021-12-11,data_breach,621233
31-33,2025-06-17,2025-09-16,data_breach,207262
31-33,2025-08-21,2025-08-23,apt,58001
52,2024-06-03,2024-06-17,ddos,
44-45,2021-02-13,2021-02-14,data_breach,321215
44-45,2025-05-29,2025-06-05,ransomware,30907
31-33,2021-10-20,2021-11-21,ransomware,
44-45,2025-08-18,2025-08-26,apt,143751
51,2025-06-26,2025-07-08,data_breach,61262
52,2023-12-14,2023-12-15,supply_chain,
44-45,2025-08-10,2025-08-24,ransomware,
52,2025-12-01,2026-01-02,phishing,4291
51,2021-03-12,2021-03-30,phishing,5344
92,2023-05-12,2023-06-12,ransomware,13561
44-45,2022-02-27,2022-03-11,data_breach,4046
48-49,2024-12-10,2025-02-13,data_breach,8233944
54,2025-10-22,2025-11-02,ransomware,125179
52,2024-07-22,2024-10-24,malware,220581
62,2023-11-19,2023-12-01,phishing,1360
52,2022-02-19,2022-03-06,ransomware,356997
51,2024-07-18,2024-07-25,phishing,1134910
62,2025-08-25,2025-11-24,data_breach,23023
92,2023-06-01,2023-06-15,malware,1000
23,2024-07-06,2024-07-16,ddos,
22,2022-07-16,2023-01-16,data_breach,67418
62,2022-12-27,2023-01-07,apt,112824
56,2021-10-01,2021-10-11,ransomware,6094
22,2021-10-16,2021-10-21,data_breach,73945
31-33,2024-01-07,2024-07-07,backdoor,
61,2023-09-13,2023-12-13,data_breach,202763
31-33,2022-10-07,2022-12-07,ransomware,14466
56,2022-12-18,2022-12-30,ransomware,
62,2023-02-14,2023-02-22,ddos,
44-45,2021-12-03,2021-12-14,data_breach,72028142
62,2022-02-09,2022-02-18,data_breach,12849
61,2023-11-11,2024-02-14,ransomware,1000
52,2025-09-01,2025-09-11,phishing,8951
56,2025-10-16,2025-12-17,ddos,
92,2023-01-29,2023-02-13,backdoor,
52,2022-10-20,2022-12-20,ransomware,
62,2022-04-24,2022-05-29,malware,27829
52,2023-09-02,2023-09-09,apt,903745
52,2021-11-24,2021-12-05,apt,233574
54,2023-02-16,2023-04-17,apt,228075
31-33,2023-10-13,2024-01-15,apt,87460
62,2024-12-02,2024-12-12,ransomware,44647095
62,2024-12-10,2024-12-16,phishing,2378160
44-45,2024-10-09,2024-10-15,ddos,
56,2024-09-15,2024-09-20,malware,14963
61,2025-12-17,2025-12-31,supply_chain,
48-49,2025-03-15,2025-03-27,phishing,262240
62,2025-12-31,2026-02-02,ransomware,1344167
31-33,2024-09-20,2024-09-22,supply_chain,
53,2024-05-15,2024-05-21,phishing,
51,2022-01-03,2022-02-02,phishing,472363
22,2025-03-31,2025-05-03,apt,307225
44-45,2025-04-08,2025-04-23,ddos,
44-45,2024-03-30,2024-04-13,trojan,10358
44-45,2023-09-07,2023-09-18,malware,34454
54,2023-02-06,2023-02-09,supply_chain,
62,2023-10-04,2024-01-06,ransomware,1750
92,2025-12-22,2026-01-23,data_breach,35436
52,2024-04-02,2024-04-05,ransomware,56912
51,2025-11-17,2025-11-20,data_breach,31233
51,2021-10-20,2021-11-22,supply_chain,
62,2022-11-04,2022-11-20,apt,35700
44-45,2025-11-01,2025-12-01,data_breach,132869
62,2024-05-10,2024-05-13,ransomware,
51,2022-01-14,2022-01-26,phishing,150735
22,2023-09-14,2023-09-19,ransomware,
51,2023-07-14,2023-07-15,ddos,
44-45,2025-07-04,2025-10-02,malware,112416
51,2025-02-28,2025-04-01,supply_chain,
92,2025-10-20,2025-11-20,data_breach,165417
52,2025-02-22,2025-03-13,phishing,9287
31-33,2024-11-11,2024-11-20,data_breach,1555
54,2024-01-01,2024-03-06,trojan,7978
22,2023-07-08,2023-07-12,ransomware,22365
52,2025-05-01,2025-05-19,apt,74646
54,2025-11-09,2026-02-09,data_breach,14808
62,2022-02-07,2022-02-14,apt,
44-45,2022-07-19,2022-07-24,phishing,135178
92,2024-10-10,2024-10-12,ransomware,288055
52,2025-08-31,2025-09-15,ransomware,63748
31-33,2021-08-29,2021-10-02,malware,3414242
72,2024-03-03,2024-03-21,ddos,
52,2025-06-06,2025-06-09,apt,874147
92,2023-11-05,2023-12-05,malware,9256285
54,2023-12-01,2024-01-02,apt,29241
62,2023-08-15,2023-11-17,ransomware,72384
62,2023-09-21,2023-09-28,ransomware,215316
92,2022-10-25,2022-11-29,phishing,481824
62,2025-06-05,2025-09-04,trojan,448189
48-49,2025-02-03,2025-05-04,phishing,19754
52,2025-08-26,2025-09-12,ransomware,7094
62,2025-01-28,2025-03-04,malware,9976
62,2021-11-01,2021-12-03,ransomware,40154
