Apt,Data_breach,Malware,Phishing,Ransomware,Trojan
,,,,45.0,
,,,12.0,,
,,18.0,,,
,,,,14.0,
,,5.0,,,
,,,34.0,,
,,4.0,,,
,,,,9.0,
,,,56.0,,
,,,,22.0,
,,,8.0,,
,,,,42.0,
,,,67.0,,
,,11.0,,,
,,,,29.0,
,,,75.0,,
,,3.0,,,
,,,,41.0,
,,,19.0,,
,,14.0,,,
,,,,8.0,
,,,,33.0,
,,,27.0,,
,,,,16.0,
,,,6.0,,
,,,,39.0,
,,13.0,,,
,,,54.0,,
,,,,11.0,
,,,47.0,,
,,7.0,,,
,,,,26.0,
,,,15.0,,
,,4.0,,,
,,,,38.0,
,,,21.0,,
,,,,4.0,
,,,64.0,,
,7.0,,,,
2.0,,,,,
,1.0,,,,
,,,,7.0,
8.0,,,,,
,12.0,,,,
,,,32.0,,
,,,18.0,,
,,,,31.0,
,12.0,,,,
,,,,11.0,
,,,12.0,,
,,,,15.0,
,,14.0,,,
11.0,,,,,
,,,,10.0,
,5.0,,,,
,,,,61.0,
,9.0,,,,
,,,10.0,,
,,35.0,,,
11.0,,,,,
60.0,,,,,
,,5.0,,,
,,,12.0,,
,,,30.0,,
33.0,,,,,
,,,,,14.0
,,11.0,,,
,32.0,,,,
,,,,3.0,
,3.0,,,,
16.0,,,,,
,30.0,,,,
,,,12.0,,
,31.0,,,,
,,,19.0,,
,9.0,,,,
,,,,,65.0
,,,,4.0,
18.0,,,,,
,,,5.0,,
,,,,2.0,
,,,,15.0,
32.0,,,,,
,,,,7.0,
,,,35.0,,
,,,,17.0,
,,35.0,,,
,,,,32.0,
,,,,10.0,
,,,34.0,,
,,,7.0,,
,,,3.0,,
,,,,2.0,
,,,,2.0,
,,,,16.0,
,16.0,,,,
,,,,14.0,
19.0,,,,,
,,,,11.0,
,,,,31.0,
,,,,1.0,
,,,,11.0,
10.0,,,,,
,,,,60.0,
,,,,32.0,
,,,,1.0,
,5.0,,,,
2.0,,,,,
,18.0,,,,
,,,8.0,,
2.0,,,,,
,,,,11.0,
,,,,18.0,
,,,32.0,,
,,,30.0,,
,,,3.0,,
60.0,,,,,
,30.0,,,,
,11.0,,,,
,,,17.0,,
18.0,,,,,
,,,14.0,,
,,,,33.0,
,,,,8.0,
,,,,10.0,
,,,,12.0,
2.0,,,,,
,,,,65.0,
,,,,3.0,
,2.0,,,,
,,,61.0,,
,,,,34.0,
,,5.0,,,
9.0,,,,,
,,61.0,,,
,,,30.0,,
,,,,,3.0
,,,,16.0,
,,,30.0,,
,,,,35.0,
,,,35.0,,
,,,32.0,,
14.0,,,,,
,,65.0,,,
,,,,4.0,
,,,,11.0,
,,,11.0,,
,,,,2.0,
,8.0,,,,
,,,12.0,,
,,,,2.0,
60.0,,,,,
,10.0,,,,
,,,,,63.0
,,,11.0,,
9.0,,,,,
,,,,30.0,
,,,7.0,,
15.0,,,,,
,,,,31.0,
,,,34.0,,
,,9.0,,,
,,,,4.0,
,,,33.0,,
,35.0,,,,
,17.0,,,,
,,,,64.0,
,,,12.0,,
34.0,,,,,
,,,,8.0,
,,,11.0,,
,,3.0,,,
,,64.0,,,
,,1.0,,,
,4.0,,,,
,,,,,31.0
,,,,7.0,
,64.0,,,,
16.0,,,,,
,,12.0,,,
,,62.0,,,
,,,2.0,,
,8.0,,,,
,,,,10.0,
,,,,,15.0
31.0,,,,,
,,,,4.0,
61.0,,,,,
,,,6.0,,
,,,11.0,,
,,,,33.0,
,,,,6.0,
,8.0,,,,
,,34.0,,,
,,11.0,,,
,4.0,,,,
,,,30.0,,
,,,1.0,,
,,,,15.0,
15.0,,,,,
,,,18.0,,
,,,10.0,,
,,,19.0,,
,,,,14.0,
,,,,0.0,
,,,33.0,,
11.0,,,,,
,,,,,33.0
11.0,,,,,
,,,,33.0,
,,,1.0,,
,14.0,,,,
,2.0,,,,
4.0,,,,,
,,,,8.0,
,,,,11.0,
,,,,,10.0
,,,,10.0,
,,17.0,,,
,,,6.0,,
,,,,10.0,
,,,,6.0,
,,,2.0,,
,,,11.0,,
35.0,,,,,
,,63.0,,,
,,,,16.0,
,,,,8.0,
,,,,17.0,
,,,,1.0,
,3.0,,,,
,,,16.0,,
,,,,,4.0
,,,,,5.0
,,,,10.0,
,,,,14.0,
,33.0,,,,
,,,30.0,,
,,,6.0,,
,,,,64.0,
,,,,17.0,
,,,19.0,,
,,,65.0,,
,9.0,,,,
17.0,,,,,
19.0,,,,,
,32.0,,,,
,,,,32.0,
,,,,11.0,
16.0,,,,,
,,,5.0,,
,,16.0,,,
,,,,10.0,
,,,9.0,,
,,,,33.0,
14.0,,,,,
,64.0,,,,
,,,,34.0,
,,3.0,,,
,,,,11.0,
,,,,3.0,
,,,,33.0,
6.0,,,,,
,,,,16.0,
,,,,63.0,
,7.0,,,,
,,,,35.0,
,,10.0,,,
,,,,11.0,
,,,,33.0,
,6.0,,,,
,,,7.0,,
,34.0,,,,
,19.0,,,,
,14.0,,,,
61.0,,,,,
,2.0,,,,
,,,,16.0,
,,,0.0,,
,,,,34.0,
,,63.0,,,
,,,34.0,,
,,,35.0,,
,,,,17.0,
,,,,,17.0
,,,1.0,,
31.0,,,,,
,,,,32.0,
32.0,,,,,
,31.0,,,,
,,,,4.0,
2.0,,,,,
,,,19.0,,
,,7.0,,,
,,,,2.0,
,,,12.0,,
,,32.0,,,
,,,,,12.0
,,,,9.0,
,33.0,,,,
12.0,,,,,
,,,,6.0,
,,,,34.0,
,,,31.0,,
,,,,31.0,
,8.0,,,,
12.0,,,,,
,,,32.0,,
,,,,2.0,
,1.0,,,,
,30.0,,,,
,,31.0,,,
,,,,1.0,
,,,4.0,,
,,,,18.0,
,,,,4.0,
,17.0,,,,
,,,,15.0,
,,,33.0,,
,4.0,,,,
,,,,64.0,
,0.0,,,,
,,,,1.0,
,,,5.0,,
18.0,,,,,
,,,,8.0,
,,,34.0,,
,,14.0,,,
,,,,,63.0
,,,,,61.0
,5.0,,,,
,,30.0,,,
,,7.0,,,
,,,,62.0,
,,32.0,,,
,,14.0,,,
,,,,16.0,
,,3.0,,,
,9.0,,,,
,,,,60.0,
,,,,33.0,
,,,12.0,,
,,,,17.0,
,,,,16.0,
,,,30.0,,
,,,4.0,,
,,6.0,,,
,,,11.0,,
,,,,6.0,
,,,,6.0,
,,,,5.0,
12.0,,,,,
,,,10.0,,
,,,30.0,,
,,4.0,,,
,,,,7.0,
,,,,7.0,
,,,,12.0,
,,17.0,,,
,,,34.0,,
,,,6.0,,
,,,33.0,,
,31.0,,,,
2.0,,,,,
,,,12.0,,
,,,65.0,,
,,,,10.0,
,,,,32.0,
,,,,8.0,
,,,,5.0,
,,,,4.0,
,,32.0,,,
,,,15.0,,
,,,17.0,,
,,,,,7.0
7.0,,,,,
32.0,,,,,
,,,,14.0,
,,,,15.0,
,,,,12.0,
,6.0,,,,
,,,14.0,,
,,,35.0,,
,,12.0,,,
,,,,8.0,
,,,,8.0,
,,,,4.0,
,12.0,,,,
,,,,10.0,
,,,1.0,,
,,,,14.0,
9.0,,,,,
,,,,11.0,
16.0,,,,,
2.0,,,,,
,,7.0,,,
,,31.0,,,
,,,,2.0,
,,,,15.0,
,14.0,,,,
,,5.0,,,
,10.0,,,,
,,,,34.0,
,9.0,,,,
,,19.0,,,
,,,,35.0,
,,,3.0,,
,,,,9.0,
,,,,8.0,
,,,33.0,,
,,,6.0,,
,,,,10.0,
,,,,8.0,
,,,,10.0,
,,,,6.0,
,,,,10.0,
,,30.0,,,
,31.0,,,,
,6.0,,,,
,,,2.0,,
,,,16.0,,
,,,17.0,,
11.0,,,,,
,3.0,,,,
,,,,9.0,
,,,,14.0,
,,,12.0,,
,1.0,,,,
,,,,17.0,
,,,33.0,,
,,1.0,,,
,,6.0,,,
3.0,,,,,
,8.0,,,,
,,,,8.0,
,,,,,4.0
,11.0,,,,
,30.0,,,,
,,,32.0,,
,,,,,19.0
,,,,,2.0
,,,,3.0,
,33.0,,,,
,,,,4.0,
,1.0,,,,
,,,,5.0,
,2.0,,,,
,8.0,,,,
15.0,,,,,
,6.0,,,,
,,34.0,,,
,,35.0,,,
,,,35.0,,
,65.0,,,,
,,,,,16.0
35.0,,,,,
,,,,11.0,
61.0,,,,,
33.0,,,,,
,,15.0,,,
,,,17.0,,
,2.0,,,,
,,,6.0,,
,,,,12.0,
,,,,6.0,
,,,,15.0,
,,,,3.0,
,0.0,,,,
