Construccion,Educacion,Empresarial,Entretenimiento,Extraccion,Finanzas,Gobierno,Hosteleria,Inmobiliario,Manufactura,Primario,Profesionales,Retail,Salud,Soporte,Tecnologia,Transporte,Utilidades,Wholesale
1000.0,45000.0,53527.0,167571.0,20312.0,850.0,89000.0,1000.0,22483.0,58001.0,65755.0,125179.0,4500.0,12500.0,6094.0,250.0,45000.0,73945.0,296640.0
142768.0,9000.0,,43101.0,470480.0,1200.0,78000.0,2213.0,14696.0,14466.0,304270.0,228075.0,7800.0,8900.0,14963.0,67000.0,34000.0,307225.0,11038.0
346580.0,12000.0,,1946.0,246915.0,15000.0,13561.0,1426.0,4613.0,1555.0,41288.0,7978.0,890.0,400.0,277339.0,12000.0,23000.0,22365.0,244544.0
57698.0,48302.0,,5610.0,147535.0,100.0,1000.0,4471.0,599588.0,26158.0,,29241.0,2300.0,11000.0,23968.0,45000.0,262240.0,26238.0,142080.0
30091.0,10617.0,,48002.0,35304.0,21000.0,35436.0,53930.0,1000.0,218135.0,,559177.0,6500.0,3400.0,269216.0,1500.0,54963.0,394094.0,5959.0
11483.0,19293.0,,65574.0,309074.0,800.0,165417.0,3676.0,14785.0,49243.0,,253301.0,2100.0,4200.0,,18000.0,122513.0,8869.0,26007.0
9585.0,29924.0,,6975.0,95370.0,32000.0,288055.0,1000.0,,67207.0,,36959.0,7700.0,5600.0,,41426.0,82381.0,46614.0,24495.0
,2245.0,,6476.0,1911.0,300.0,481824.0,,,11455.0,,32593.0,321215.0,1360.0,,621233.0,3505.0,221745.0,20109.0
,543577.0,,,60358.0,26888.0,377861.0,,,60300.0,,8569.0,30907.0,112824.0,,61262.0,279631.0,122520.0,
,563049.0,,,15738.0,4291.0,230489.0,,,340112.0,,189812.0,143751.0,12849.0,,5344.0,253558.0,1000.0,
,10605.0,,,14632.0,356997.0,608591.0,,,28399.0,,10570.0,4046.0,27829.0,,472363.0,17013.0,422226.0,
,1000.0,,,,8951.0,6621.0,,,41115.0,,457614.0,10358.0,35700.0,,31233.0,276983.0,77728.0,
,9455.0,,,,233574.0,204950.0,,,139803.0,,7431.0,34454.0,215316.0,,150735.0,4199.0,289471.0,
,352329.0,,,,56912.0,53723.0,,,285219.0,,2135.0,132869.0,9976.0,,58015.0,602636.0,11460.0,
,87288.0,,,,9287.0,23760.0,,,1283.0,,569535.0,135178.0,40154.0,,24510.0,67180.0,4949.0,
,4644.0,,,,74646.0,9185.0,,,243569.0,,344359.0,14916.0,7476.0,,54730.0,,43179.0,
,36699.0,,,,63748.0,27934.0,,,54353.0,,90839.0,1000.0,72588.0,,29072.0,,192048.0,
,3480.0,,,,7094.0,9983.0,,,3623.0,,52490.0,4814.0,15655.0,,101695.0,,270879.0,
,38085.0,,,,8781.0,4503.0,,,26815.0,,1000.0,185765.0,5203.0,,73464.0,,585999.0,
,5803.0,,,,3817.0,164295.0,,,1000.0,,93306.0,1151.0,298173.0,,24550.0,,124466.0,
,199540.0,,,,18853.0,468456.0,,,609054.0,,3243.0,112301.0,232716.0,,19166.0,,176042.0,
,3024.0,,,,7443.0,85998.0,,,6291.0,,203128.0,19885.0,45521.0,,13220.0,,12141.0,
,18438.0,,,,11336.0,137168.0,,,27052.0,,,41575.0,29360.0,,39780.0,,,
,5940.0,,,,15237.0,2143.0,,,1049.0,,,29694.0,61200.0,,129096.0,,,
,,,,,55354.0,49282.0,,,14001.0,,,94431.0,3533.0,,5430.0,,,
,,,,,1198.0,58025.0,,,1000.0,,,81523.0,465789.0,,30796.0,,,
,,,,,59878.0,3816.0,,,15095.0,,,16069.0,116203.0,,7731.0,,,
,,,,,1000.0,124849.0,,,15121.0,,,5054.0,23364.0,,25429.0,,,
,,,,,58445.0,11039.0,,,40017.0,,,1000.0,65421.0,,176494.0,,,
,,,,,2436.0,,,,39880.0,,,69445.0,321127.0,,93300.0,,,
,,,,,62358.0,,,,,,,13188.0,5778.0,,104844.0,,,
,,,,,265756.0,,,,,,,452923.0,19956.0,,1002.0,,,
,,,,,9803.0,,,,,,,247994.0,491707.0,,15801.0,,,
,,,,,7154.0,,,,,,,632434.0,16129.0,,2452.0,,,
,,,,,61515.0,,,,,,,317888.0,36113.0,,39632.0,,,
,,,,,8896.0,,,,,,,39124.0,15959.0,,22504.0,,,
,,,,,43042.0,,,,,,,233824.0,46644.0,,64102.0,,,
,,,,,1652.0,,,,,,,2987.0,12997.0,,9800.0,,,
,,,,,20656.0,,,,,,,201238.0,402732.0,,207781.0,,,
,,,,,218610.0,,,,,,,1000.0,33835.0,,322405.0,,,
,,,,,111293.0,,,,,,,273265.0,612529.0,,23623.0,,,
,,,,,3024.0,,,,,,,33003.0,27996.0,,29014.0,,,
,,,,,73583.0,,,,,,,83997.0,25789.0,,4203.0,,,
,,,,,1000.0,,,,,,,,1422.0,,293884.0,,,
,,,,,33370.0,,,,,,,,31688.0,,1000.0,,,
,,,,,187522.0,,,,,,,,64082.0,,6943.0,,,
,,,,,125553.0,,,,,,,,210761.0,,1000.0,,,
,,,,,64202.0,,,,,,,,83167.0,,44832.0,,,
,,,,,217990.0,,,,,,,,4130.0,,605157.0,,,
,,,,,586531.0,,,,,,,,1000.0,,156677.0,,,
,,,,,49212.0,,,,,,,,7778.0,,509686.0,,,
,,,,,45119.0,,,,,,,,1395.0,,5680.0,,,
,,,,,490240.0,,,,,,,,484821.0,,5842.0,,,
,,,,,79826.0,,,,,,,,205972.0,,348772.0,,,
,,,,,1756.0,,,,,,,,73248.0,,90585.0,,,
,,,,,318658.0,,,,,,,,6220.0,,98467.0,,,
,,,,,60779.0,,,,,,,,33238.0,,8332.0,,,
,,,,,37312.0,,,,,,,,48882.0,,15849.0,,,
,,,,,12994.0,,,,,,,,99672.0,,2495.0,,,
,,,,,29748.0,,,,,,,,1457.0,,5700.0,,,
,,,,,5817.0,,,,,,,,5915.0,,1227.0,,,
,,,,,5537.0,,,,,,,,12095.0,,389547.0,,,
,,,,,185823.0,,,,,,,,395948.0,,2964.0,,,
,,,,,57211.0,,,,,,,,36780.0,,24730.0,,,
,,,,,31557.0,,,,,,,,232826.0,,13161.0,,,
,,,,,53769.0,,,,,,,,142906.0,,2679.0,,,
,,,,,1000.0,,,,,,,,11306.0,,9772.0,,,
,,,,,106548.0,,,,,,,,191560.0,,14388.0,,,
,,,,,4447.0,,,,,,,,518026.0,,26365.0,,,
,,,,,94805.0,,,,,,,,554996.0,,7992.0,,,
,,,,,120370.0,,,,,,,,38513.0,,9888.0,,,
,,,,,35100.0,,,,,,,,1000.0,,,,,
,,,,,27576.0,,,,,,,,68179.0,,,,,
,,,,,10458.0,,,,,,,,125669.0,,,,,
,,,,,1000.0,,,,,,,,18331.0,,,,,
,,,,,183028.0,,,,,,,,,,,,,
,,,,,9913.0,,,,,,,,,,,,,
,,,,,142572.0,,,,,,,,,,,,,
,,,,,5376.0,,,,,,,,,,,,,
,,,,,11975.0,,,,,,,,,,,,,
,,,,,68400.0,,,,,,,,,,,,,
